"LBCBR66L.Code.or.Value","LBCBR66L.Value.Description","LBCBR66L.Count","LBCBR66L.Cumulative","LBCBR66L.Skip.to.Item"
"0.2 to 0.8","Range of Values",264,264,NA
".","Missing",0,264,NA
