"LBXPFSA.Code.or.Value","LBXPFSA.Value.Description","LBXPFSA.Count","LBXPFSA.Cumulative","LBXPFSA.Skip.to.Item"
"0.07 to 0.2","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
