"DRD370A.Code.or.Value","DRD370A.Value.Description","DRD370A.Count","DRD370A.Cumulative","DRD370A.Skip.to.Item"
"1","Yes",841,841,""
"2","No",4583,5424,"DRD370B"
".","Missing",4338,9762,""
