"RFXT047.Code.or.Value","RFXT047.Value.Description","RFXT047.Count","RFXT047.Cumulative","RFXT047.Skip.to.Item"
"398 to 407","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
