"OHARNF.Code.or.Value","OHARNF.Value.Description","OHARNF.Count","OHARNF.Cumulative","OHARNF.Skip.to.Item"
"1","Yes",6366,6366,NA
"2","No",23,6389,NA
".","Missing",2776,9165,NA
