"LBDBR9LC.Code.or.Value","LBDBR9LC.Value.Description","LBDBR9LC.Count","LBDBR9LC.Cumulative","LBDBR9LC.Skip.to.Item"
"0","At or above the detection limit",87,87,NA
"1","Below lower detection limit",177,264,NA
".","Missing",0,264,NA
