"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.3 to 10.71","Range of Values",6255,6255,NA
".","Missing",489,6744,NA
