"TYXA171.Code.or.Value","TYXA171.Value.Description","TYXA171.Count","TYXA171.Cumulative","TYXA171.Skip.to.Item"
"0.174 to 6.72","Range of Values",2844,2844,NA
".","Missing",5625,8469,NA
