"SMQ666C.Code.or.Value","SMQ666C.Value.Description","SMQ666C.Count","SMQ666C.Cumulative","SMQ666C.Skip.to.Item"
"1","Regulars",16,16,NA
"2","Lights",8,24,NA
"3","Ultralights",0,24,NA
"7","Refused",0,24,NA
"9","Don't know",0,24,NA
".","Missing",7504,7528,NA
