"DSQIFIBE.Code.or.Value","DSQIFIBE.Value.Description","DSQIFIBE.Count","DSQIFIBE.Cumulative","DSQIFIBE.Skip.to.Item"
"0.145 to 18","Range of Values",135,135,NA
".","Missing",8265,8400,NA
