"DS2INIAC.Code.or.Value","DS2INIAC.Value.Description","DS2INIAC.Count","DS2INIAC.Cumulative","DS2INIAC.Skip.to.Item"
"0.078 to 1000","Range of Values",1258,1258,NA
".","Missing",4340,5598,NA
