"URDMOPLC.Code.or.Value","URDMOPLC.Value.Description","URDMOPLC.Count","URDMOPLC.Cumulative","URDMOPLC.Skip.to.Item"
"0","At or above the detection limit",27,27,NA
"1","Below lower detection limit",2578,2605,NA
".","Missing",92,2697,NA
