"RHD152.Code.or.Value","RHD152.Value.Description","RHD152.Count","RHD152.Cumulative","RHD152.Skip.to.Item"
"1 to 9","Range of Values",235,235,NA
"77","Refused",0,235,NA
"99","Don't know",1,236,NA
".","Missing",3328,3564,NA
