"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",5571,5571,""
"2","No",3422,8993,"End of Section"
"7","Refused",4,8997,"End of Section"
"9","Don't know",45,9042,"End of Section"
".","Missing",908,9950,""
