"CVXWRPE.Code.or.Value","CVXWRPE.Value.Description","CVXWRPE.Count","CVXWRPE.Cumulative","CVXWRPE.Skip.to.Item"
"6 to 19","Range of Values",3158,3158,NA
".","Missing",1505,4663,NA
