"DS1ICOPP.Code.or.Value","DS1ICOPP.Value.Description","DS1ICOPP.Count","DS1ICOPP.Cumulative","DS1ICOPP.Skip.to.Item"
"0.005 to 6","Range of Values",951,951,NA
".","Missing",5007,5958,NA
