"DR1ISELE.Code.or.Value","DR1ISELE.Value.Description","DR1ISELE.Count","DR1ISELE.Cumulative","DR1ISELE.Skip.to.Item"
"0 to 849.8","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
