"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 66.217","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
