"DRD370LQ.Code.or.Value","DRD370LQ.Value.Description","DRD370LQ.Count","DRD370LQ.Cumulative","DRD370LQ.Skip.to.Item"
"1 to 20","Range of Values",43,43,NA
".","Missing",10210,10253,NA
