"OHD22LAS.Code.or.Value","OHD22LAS.Value.Description","OHD22LAS.Count","OHD22LAS.Cumulative","OHD22LAS.Skip.to.Item"
"0 to 11","Range of Values",1706,1706,NA
"99","Calculation cannot be determined",113,1819,NA
".","Missing",4939,6758,NA
