"OHX24LAP.Code.or.Value","OHX24LAP.Value.Description","OHX24LAP.Count","OHX24LAP.Cumulative","OHX24LAP.Skip.to.Item"
"0 to 11","Range of Values",3166,3166,NA
"99","Cannot be assessed",924,4090,NA
".","Missing",947,5037,NA
