"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.2616 to 186.17","Range of Values",2591,2591,NA
".","Missing",103,2694,NA
