"PAQ724m.Code.or.Value","PAQ724m.Value.Description","PAQ724m.Count","PAQ724m.Cumulative","PAQ724m.Skip.to.Item"
"13","ICE SKATING",3,3,NA
".","Missing",9252,9255,NA
