"LEARLES.Code.or.Value","LEARLES.Value.Description","LEARLES.Count","LEARLES.Cumulative","LEARLES.Skip.to.Item"
"1","Yes",29,29,NA
"2","No",2833,2862,NA
"8","Could not obtain",5,2867,NA
".","Missing",317,3184,NA
