"DR1_300.Code.or.Value","DR1_300.Value.Description","DR1_300.Count","DR1_300.Cumulative","DR1_300.Skip.to.Item"
"1","Much more than usual",650,650,NA
"2","Usual",7024,7674,NA
"3","Much less than usual",1624,9298,NA
"7","Refused",0,9298,NA
"9","Don't know",40,9338,NA
".","Missing",424,9762,NA
