"MCQ240K.Code.or.Value","MCQ240K.Value.Description","MCQ240K.Count","MCQ240K.Cumulative","MCQ240K.Skip.to.Item"
"70","70",1,1,NA
"85","85 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9644,9645,NA
