"DEQ6ELSH.Code.or.Value","DEQ6ELSH.Value.Description","DEQ6ELSH.Count","DEQ6ELSH.Cumulative","DEQ6ELSH.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
