"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0 to 47.662","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
