"WBXA002.Code.or.Value","WBXA002.Value.Description","WBXA002.Count","WBXA002.Cumulative","WBXA002.Skip.to.Item"
"-2.7903 to 0.9532","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
