"DR1IVARA.Code.or.Value","DR1IVARA.Value.Description","DR1IVARA.Count","DR1IVARA.Cumulative","DR1IVARA.Skip.to.Item"
"0 to 24880","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
