"DR2IFF.Code.or.Value","DR2IFF.Value.Description","DR2IFF.Count","DR2IFF.Cumulative","DR2IFF.Skip.to.Item"
"0 to 2759","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
