"SPAPOS.Code.or.Value","SPAPOS.Value.Description","SPAPOS.Count","SPAPOS.Cumulative","SPAPOS.Skip.to.Item"
"Sitting","Sitting",197,197,NA
"Standing","Standing",37464,37661,NA
"< blank >","Missing",0,37661,NA
