"LBXSF2SI.Code.or.Value","LBXSF2SI.Value.Description","LBXSF2SI.Count","LBXSF2SI.Cumulative","LBXSF2SI.Skip.to.Item"
"0.141 to 1010","Range of Values",8454,8454,NA
".","Missing",968,9422,NA
