"BAXPFC41.Code.or.Value","BAXPFC41.Value.Description","BAXPFC41.Count","BAXPFC41.Cumulative","BAXPFC41.Skip.to.Item"
"1","Pass",383,383,"End of Section"
"2","Dnp(did not pass)",454,837,""
".","Missing",174,1011,""
