"LBXSGL.Code.or.Value","LBXSGL.Value.Description","LBXSGL.Count","LBXSGL.Cumulative","LBXSGL.Skip.to.Item"
"34 to 777","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
