"DXAFMRK.Code.or.Value","DXAFMRK.Value.Description","DXAFMRK.Count","DXAFMRK.Cumulative","DXAFMRK.Skip.to.Item"
"1.1139 to 1.1544","Range of Values",6752,6752,NA
".","Missing",982,7734,NA
