"LBDD05LC.Code.or.Value","LBDD05LC.Value.Description","LBDD05LC.Count","LBDD05LC.Cumulative","LBDD05LC.Skip.to.Item"
"0","At or above the detection limit",246,246,NA
"1","Below lower detection limit",0,246,NA
".","Missing",1,247,NA
