"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0.151 to 7.558","Range of Values",4102,4102,NA
"777","Refused",0,4102,NA
"888","Could not obtain",0,4102,NA
".","Missing",480,4582,NA
