"URDDEALC.Code.or.Value","URDDEALC.Value.Description","URDDEALC.Count","URDDEALC.Cumulative","URDDEALC.Skip.to.Item"
"0","At or above detection limit",1909,1909,NA
"1","Below lower detection limit",629,2538,NA
".","Missing",156,2694,NA
