"PUD021.Code.or.Value","PUD021.Value.Description","PUD021.Count","PUD021.Cumulative","PUD021.Skip.to.Item"
"1","Yes",343,343,NA
"2","No",1599,1942,NA
".","Missing",9097,11039,NA
