"DR2TMAGN.Code.or.Value","DR2TMAGN.Value.Description","DR2TMAGN.Count","DR2TMAGN.Cumulative","DR2TMAGN.Skip.to.Item"
"3 to 1445","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
