"ORXH72.Code.or.Value","ORXH72.Value.Description","ORXH72.Count","ORXH72.Cumulative","ORXH72.Skip.to.Item"
"1","Positive",8,8,NA
"2","Negative",4402,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
