"DBQ301.Code.or.Value","DBQ301.Value.Description","DBQ301.Count","DBQ301.Cumulative","DBQ301.Skip.to.Item"
"1","Yes",97,97,NA
"2","No",1804,1901,NA
"7","Refused",0,1901,NA
"9","Don't know",0,1901,NA
".","Missing",8221,10122,NA
