"LBXTC2LA.Code.or.Value","LBXTC2LA.Value.Description","LBXTC2LA.Count","LBXTC2LA.Cumulative","LBXTC2LA.Skip.to.Item"
"1.4 to 19","Range of Values",1215,1215,NA
".","Missing",1332,2547,NA
