"LBCTC2LA.Code.or.Value","LBCTC2LA.Value.Description","LBCTC2LA.Count","LBCTC2LA.Cumulative","LBCTC2LA.Skip.to.Item"
"0.602 to 11.6","Range of Values",246,246,NA
".","Missing",1,247,NA
