"LBDSIRSI.Code.or.Value","LBDSIRSI.Value.Description","LBDSIRSI.Count","LBDSIRSI.Cumulative","LBDSIRSI.Skip.to.Item"
"0.9 to 49.8","Range of Values",6486,6486,NA
".","Missing",504,6990,NA
