"RFXC144.Code.or.Value","RFXC144.Value.Description","RFXC144.Count","RFXC144.Cumulative","RFXC144.Skip.to.Item"
"-3.095 to 6.824","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
