"DS1IVB12.Code.or.Value","DS1IVB12.Value.Description","DS1IVB12.Count","DS1IVB12.Cumulative","DS1IVB12.Skip.to.Item"
"0.6 to 10000","Range of Values",1762,1762,NA
".","Missing",4306,6068,NA
