"DS1TPROT.Code.or.Value","DS1TPROT.Value.Description","DS1TPROT.Count","DS1TPROT.Cumulative","DS1TPROT.Skip.to.Item"
"0 to 43","Range of Values",190,190,NA
".","Missing",9572,9762,NA
