"MCQ240W.Code.or.Value","MCQ240W.Value.Description","MCQ240W.Count","MCQ240W.Cumulative","MCQ240W.Skip.to.Item"
"20 to 84","Range of Values",88,88,NA
"85","85 years or older",3,91,NA
"77777","Refused",0,91,NA
"99999","Don't know",1,92,NA
".","Missing",10378,10470,NA
