"LBDD01LC.Code.or.Value","LBDD01LC.Value.Description","LBDD01LC.Count","LBDD01LC.Cumulative","LBDD01LC.Skip.to.Item"
"0","detectable result",243,243,NA
"1","below detectable limit",1672,1915,NA
".","Missing",359,2274,NA
