"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",169,169,""
"2","No",4169,4338,"DRD370G"
".","Missing",4366,8704,""
