"AUXU1K1R.Code.or.Value","AUXU1K1R.Value.Description","AUXU1K1R.Count","AUXU1K1R.Cumulative","AUXU1K1R.Skip.to.Item"
"-10 to 100","Range of Values",3851,3851,NA
"666","No response",1,3852,NA
"888","Could not obtain",16,3868,NA
".","Missing",632,4500,NA
