"DIQ280.Code.or.Value","DIQ280.Value.Description","DIQ280.Count","DIQ280.Cumulative","DIQ280.Skip.to.Item"
"4.1 to 14","Range of Values",330,330,NA
"777","Refused",2,332,NA
"999","Don't know",188,520,NA
".","Missing",9250,9770,NA
