"DRXIP225.Code.or.Value","DRXIP225.Value.Description","DRXIP225.Count","DRXIP225.Cumulative","DRXIP225.Skip.to.Item"
"0 to 1.02","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
