"LBXCBC.Code.or.Value","LBXCBC.Value.Description","LBXCBC.Count","LBXCBC.Cumulative","LBXCBC.Skip.to.Item"
"0.3 to 23.28","Range of Values",6870,6870,NA
"0.21","Fill Value of Limit of Detection",398,7268,NA
".","Missing",714,7982,NA
