"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"25 to 90","Range of Values",20,20,NA
"666","No response",3,23,NA
"888","Could not obtain",0,23,NA
".","Missing",4477,4500,NA
