"SPDBRONC.Code.or.Value","SPDBRONC.Value.Description","SPDBRONC.Count","SPDBRONC.Cumulative","SPDBRONC.Skip.to.Item"
"1","Yes",926,926,NA
"2","No",6247,7173,NA
".","Missing",1022,8195,NA
