"DR1IFIBE.Code.or.Value","DR1IFIBE.Value.Description","DR1IFIBE.Count","DR1IFIBE.Cumulative","DR1IFIBE.Skip.to.Item"
"0 to 109.4","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
