"LBXV2T.Code.or.Value","LBXV2T.Value.Description","LBXV2T.Count","LBXV2T.Cumulative","LBXV2T.Skip.to.Item"
"0.0064 to 0.0071","Range of Values",1367,1367,NA
".","Missing",122,1489,NA
