"WTSBA4YR.Code.or.Value","WTSBA4YR.Value.Description","WTSBA4YR.Count","WTSBA4YR.Cumulative","WTSBA4YR.Skip.to.Item"
"1556.3775566 to 90972.569512","Range of Values",2059,2059,NA
".","Missing",1125,3184,NA
