"DS1ICOPP.Code.or.Value","DS1ICOPP.Value.Description","DS1ICOPP.Count","DS1ICOPP.Cumulative","DS1ICOPP.Skip.to.Item"
"0.003 to 14","Range of Values",1113,1113,NA
".","Missing",4257,5370,NA
