"DS2TFA.Code.or.Value","DS2TFA.Value.Description","DS2TFA.Count","DS2TFA.Cumulative","DS2TFA.Skip.to.Item"
"6 to 20400","Range of Values",1671,1671,NA
".","Missing",8142,9813,NA
