"SSD044.Code.or.Value","SSD044.Value.Description","SSD044.Count","SSD044.Cumulative","SSD044.Skip.to.Item"
"0 to 2557","Range of Values",3038,3038,NA
"77777","Refused",7,3045,NA
"99999","Don't know",10,3055,NA
".","Missing",1,3056,NA
